n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1966 | fa_1967 | fa_1968 | fa_1969 | fa_1970 | fa_1971 | fa_1972 | fa_1973 | fa_1974 | fa_1975 | fa_1976 | fa_1977 | fa_1978 | fa_1979 | fa_1980 | fa_1981 | fa_1982 | fa_1983 | fa_1984 | fa_1985 | fa_1986 | fa_1987 | fa_1988 | fa_1989 | fa_1990 | fa_1991 | fa_1992 | fa_1993 | fa_1994 | fa_1995 | fa_1996 | fa_1997 | fa_1998 | fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1966 | all_1967 | all_1968 | all_1969 | all_1970 | all_1971 | all_1972 | all_1973 | all_1974 | all_1975 | all_1976 | all_1977 | all_1978 | all_1979 | all_1980 | all_1981 | all_1982 | all_1983 | all_1984 | all_1985 | all_1986 | all_1987 | all_1988 | all_1989 | all_1990 | all_1991 | all_1992 | all_1993 | all_1994 | all_1995 | all_1996 | all_1997 | all_1998 | all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
27 | Pitts, David Eugene | THE UNIVERSITY OF OKLAHOMA. | 1971 | male | 1 | 2 | 1987 | 1 | 3 | 1987 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
28 | Valeo, Ernest John | PRINCETON UNIVERSITY. | 1971 | male | 1 | 0 | 1971 | 1 | 5 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 |
29 | Woosley, Stanford Earl | RICE UNIVERSITY. | 1971 | male | 2 | 73 | 2017 | 5 | 274 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 2 | 0 | 0 | 2 | 1 | 2 | 1 | 1 | 2 | 1 | 0 | 0 | 0 | 4 | 1 | 7 | 5 | 2 | 1 | 2 | 5 | 3 | 2 | 1 | 2 | 0 | 3 | 0 | 1 | 1 | 1 | 2 | 0 | 2 | 6 | 0 | 1 | 1 | 2 | 1 | 0 | 0 | 2 | 1 |  0 | 0 | 0 | 1 | 0 | 4 | 2 | 3 | 2 | 0 | 4 | 3 | 4 | 2 | 2 | 4 | 5 | 2 | 0 | 1 | 8 | 1 | 13 | 9 | 3 | 4 | 5 | 10 | 7 | 8 | 8 | 10 | 3 | 10 | 5 | 9 | 5 | 9 | 15 | 12 | 12 | 15 | 7 | 5 | 10 | 9 | 4 | 7 | 5 | 4 | 6 |
30 | Brucato, Robert Joseph | NORTHWESTERN UNIVERSITY. | 1971 | male | 4 | 4 | 1974 | 5 | 8 | 2003 | 0 | 0 | 1 | 0 | 0 | 3 | 2 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 4 | 3 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
31 | Chesters, Dennis | UNIVERSITY OF MARYLAND COLLEGE PARK. | 1971 | male | 1 | 0 | 1971 | 1 | 0 | 1971 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
32 | Greene, Arthur Edward | THE OHIO STATE UNIVERSITY. | 1971 | male | 2 | 1 | 1975 | 2 | 3 | 1978 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
33 | Hildner, Ernest Gotthold, III | UNIVERSITY OF COLORADO AT BOULDER. | 1971 | male | 1 | 8 | 2009 | 1 | 37 | 2009 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 3 | 5 | 4 | 2 | 2 | 1 | 1 | 2 | 1 | 1 | 2 | 1 | 2 | 0 | 0 | 1 | 1 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
34 | Price, Richard H. | California Institute of Technology | 1971 | male | 2 | 27 | 2016 | 7 | 103 | 2017 | 0 | 0 | 0 | 1 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 2 | 0 | 2 | 0 | 0 | 2 | 3 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 3 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 1 | 0 | 0 | 2 |  0 | 0 | 0 | 3 | 1 | 3 | 3 | 0 | 0 | 2 | 0 | 2 | 1 | 2 | 1 | 1 | 3 | 3 | 0 | 1 | 2 | 0 | 4 | 0 | 2 | 5 | 3 | 2 | 3 | 2 | 5 | 4 | 3 | 5 | 7 | 2 | 1 | 0 | 6 | 2 | 1 | 3 | 5 | 5 | 2 | 1 | 3 | 3 | 0 | 0 | 2 |
35 | Goldstein, Mark Parnes | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1971 | male | 1 | 0 | 1971 | 2 | 4 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 1 |
36 | Hill, Stephen James | UNIVERSITY OF COLORADO AT BOULDER. | 1971 | male | 1 | 4 | 1979 | 3 | 11 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  2 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 2 | 1 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 |
37 | Joseph, Robert David | WASHINGTON UNIVERSITY. | 1971 | male | 1 | 16 | 2016 | 2 | 83 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 2 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 |  0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 3 | 2 | 0 | 2 | 0 | 0 | 0 | 5 | 2 | 1 | 2 | 4 | 2 | 2 | 5 | 2 | 0 | 6 | 4 | 2 | 5 | 2 | 3 | 5 | 1 | 3 | 2 | 3 | 1 | 4 | 1 | 0 | 2 | 0 | 1 | 0 | 0 | 2 | 0 | 2 |
38 | Kelsall, Thomas | UNIVERSITY OF MARYLAND COLLEGE PARK. | 1971 | male | 3 | 1 | 1998 | 3 | 42 | 1998 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 2 | 8 | 6 | 2 | 8 | 4 | 0 | 3 | 5 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
39 | Leibacher, John William | HARVARD UNIVERSITY. | 1971 | male | 2 | 20 | 2017 | 3 | 88 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 2 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 2 | 2 | 1 | 1 | 1 | 1 | 1 | 1 |  0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 2 | 2 | 0 | 5 | 4 | 6 | 3 | 3 | 2 | 2 | 1 | 2 | 1 | 0 | 2 | 0 | 0 | 2 | 0 | 7 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 4 | 4 | 4 | 4 | 3 | 4 | 5 | 2 | 3 | 4 |
40 | McKenzie, David Leroy | UNIVERSITY OF CALIFORNIA, SAN DIEGO. | 1971 | male | 1 | 24 | 1994 | 3 | 72 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 1 | 1 | 1 | 1 | 0 | 2 | 1 | 4 | 0 | 1 | 2 | 0 | 1 | 2 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 1 | 0 | 1 | 2 | 2 | 1 | 2 | 1 | 2 | 4 | 0 | 3 | 2 | 4 | 2 | 2 | 4 | 1 | 2 | 4 | 2 | 0 | 1 | 3 | 0 | 3 | 1 | 1 | 3 | 3 | 1 | 6 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 2 | 1 | 0 | 1 | 0 | 0 |
41 | Niell, Arthur Edwin | CORNELL UNIVERSITY. | 1971 | male | 1 | 4 | 2000 | 4 | 45 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 2 | 1 | 2 | 3 | 3 | 4 | 2 | 1 | 1 | 1 | 3 | 0 | 2 | 3 | 2 | 4 | 0 | 1 | 5 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
42 | Osborn, Wayne Henry | Yale University. | 1971 | male | 8 | 31 | 2017 | 10 | 55 | 2017 | 1 | 2 | 1 | 1 | 1 | 2 | 1 | 3 | 2 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 1 | 2 | 0 | 2 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 2 | 4 | 1 | 0 | 0 | 1 |  1 | 2 | 1 | 2 | 1 | 3 | 1 | 3 | 3 | 1 | 3 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 2 | 2 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 2 | 4 | 1 | 1 | 2 | 0 | 2 | 1 | 1 | 3 | 1 | 0 | 0 | 1 | 2 | 3 | 5 | 1 | 0 | 1 | 2 |
43 | Avery, Rexford Warner | UNIVERSITY OF PENNSYLVANIA. | 1971 | male | 1 | 3 | 1975 | 1 | 8 | 1975 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 3 | 4 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
44 | Bailey, Wayne Lewis | THE UNIVERSITY OF ARIZONA. | 1971 | male | 1 | 1 | 1977 | 1 | 2 | 1990 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
45 | Coleman, Philip Lynn | THE UNIVERSITY OF WISCONSIN - MADISON. | 1971 | male | 2 | 3 | 2007 | 4 | 10 | 2013 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 4 | 2 | 3 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 |
46 | Dunham, David Waring | Yale University. | 1971 | male | 5 | 58 | 2016 | 5 | 99 | 2017 | 0 | 0 | 0 | 2 | 0 | 3 | 1 | 5 | 3 | 2 | 0 | 3 | 2 | 1 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 9 | 8 | 7 | 1 | 1 | 1 | 2 | 1 | 1 | 2 | 1 | 0 | 1 |  0 | 0 | 0 | 2 | 0 | 3 | 1 | 5 | 4 | 4 | 0 | 3 | 3 | 1 | 3 | 1 | 1 | 1 | 2 | 2 | 0 | 1 | 0 | 2 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 2 | 2 | 2 | 1 | 1 | 10 | 8 | 8 | 1 | 1 | 4 | 4 | 3 | 1 | 5 | 3 | 2 | 2 |
47 | Faintich, Marshall Barry | UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN. | 1971 | male | 1 | 2 | 1973 | 1 | 2 | 1973 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
48 | Gull, Theodore Raymond | CORNELL UNIVERSITY. | 1971 | male | 2 | 19 | 2016 | 2 | 190 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 1 | 2 | 0 | 3 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 2 | 0 | 2 | 0 | 0 | 0 | 0 | 1 |  0 | 0 | 0 | 0 | 0 | 2 | 1 | 1 | 2 | 3 | 6 | 1 | 5 | 1 | 9 | 4 | 12 | 7 | 5 | 3 | 2 | 3 | 2 | 0 | 1 | 3 | 3 | 0 | 0 | 0 | 0 | 0 | 10 | 6 | 10 | 11 | 6 | 5 | 8 | 15 | 5 | 5 | 2 | 6 | 2 | 4 | 2 | 3 | 4 | 6 | 5 |
49 | Harper, Doyal Alexander, Jr. | RICE UNIVERSITY. | 1971 | male | 2 | 14 | 1999 | 2 | 87 | 2014 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 1 | 1 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 2 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 1 | 1 | 5 | 4 | 5 | 3 | 5 | 2 | 1 | 4 | 6 | 2 | 2 | 2 | 3 | 6 | 2 | 2 | 1 | 2 | 2 | 1 | 5 | 1 | 2 | 3 | 3 | 0 | 2 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 3 | 0 | 0 |
50 | Joss, Paul Christopher | CORNELL UNIVERSITY. | 1971 | male | 2 | 29 | 1999 | 2 | 91 | 2005 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 5 | 1 | 0 | 2 | 4 | 3 | 3 | 2 | 0 | 0 | 2 | 1 | 0 | 0 | 2 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 1 | 10 | 3 | 1 | 11 | 10 | 6 | 5 | 5 | 1 | 2 | 3 | 3 | 4 | 4 | 4 | 1 | 2 | 1 | 1 | 3 | 2 | 0 | 1 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
51 | Vorpahl, Joan Ann | UNIVERSITY OF CALIFORNIA, DAVIS. | 1971 | male | 2 | 13 | 1978 | 3 | 15 | 1981 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 2 | 2 | 1 | 2 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 2 | 2 | 2 | 2 | 1 | 2 | 3 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
52 | Wegner, Gary Alan | UNIVERSITY OF WASHINGTON. | 1971 | male | 3 | 85 | 2015 | 4 | 218 | 2017 | 0 | 0 | 0 | 0 | 0 | 3 | 4 | 2 | 2 | 2 | 6 | 2 | 2 | 8 | 3 | 7 | 2 | 6 | 4 | 3 | 1 | 3 | 1 | 2 | 4 | 3 | 1 | 3 | 1 | 0 | 2 | 0 | 0 | 1 | 0 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 2 | 1 | 0 | 0 | 2 | 0 |  0 | 0 | 0 | 0 | 1 | 3 | 5 | 2 | 2 | 2 | 6 | 3 | 3 | 10 | 5 | 9 | 2 | 7 | 6 | 5 | 2 | 9 | 6 | 12 | 5 | 5 | 3 | 6 | 5 | 5 | 7 | 11 | 11 | 6 | 9 | 7 | 5 | 5 | 3 | 4 | 1 | 1 | 4 | 2 | 2 | 4 | 3 | 0 | 2 | 3 | 1 |
53 | Zappala, Robert Richard | UNIVERSITY OF CALIFORNIA, SANTA CRUZ. | 1971 | male | 4 | 4 | 1974 | 7 | 5 | 1974 | 1 | 1 | 0 | 1 | 0 | 1 | 2 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 1 | 1 | 2 | 1 | 1 | 2 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
